,Not_purchased,Purchased
386,0.8088467,0.1911533
387,0.8088467,0.1911533
388,0.8088467,0.1911533
389,0.8088467,0.1911533
390,0.8088467,0.1911533
391,0.80574226,0.19425777
392,0.7964912,0.2035088
393,0.8088467,0.1911533
394,0.4899869,0.5100131
395,0.80732954,0.19267045
396,0.80732954,0.19267045
397,0.7964912,0.2035088
398,0.4507773,0.5492227
399,0.8088467,0.1911533
400,0.8088467,0.1911533
401,0.8088467,0.1911533
402,0.6830928,0.31690723
403,0.80732954,0.19267045
404,0.8088467,0.1911533
405,0.8088467,0.1911533
406,0.8088467,0.1911533
407,0.8088467,0.1911533
408,0.8088467,0.1911533
409,0.8088467,0.1911533
410,0.8088467,0.1911533
411,0.8088467,0.1911533
412,0.80732954,0.19267045
413,0.80732954,0.19267045
414,0.8088467,0.1911533
415,0.8088467,0.1911533
416,0.8088467,0.1911533
417,0.8088467,0.1911533
418,0.80732954,0.19267045
419,0.5525937,0.44740632
420,0.8088467,0.1911533
421,0.80732954,0.19267045
422,0.7846076,0.21539241
423,0.8088467,0.1911533
424,0.80732954,0.19267045
425,0.80732954,0.19267045
426,0.80574226,0.19425777
427,0.8088467,0.1911533
428,0.80574226,0.19425777
429,0.7964912,0.2035088
430,0.8088467,0.1911533
431,0.80574226,0.19425777
432,0.80732954,0.19267045
433,0.80732954,0.19267045
434,0.80574226,0.19425777
435,0.7964912,0.2035088
436,0.80732954,0.19267045
437,0.80732954,0.19267045
438,0.80732954,0.19267045
439,0.80574226,0.19425777
440,0.8088467,0.1911533
441,0.8088467,0.1911533
442,0.8088467,0.1911533
443,0.8088467,0.1911533
444,0.7964912,0.2035088
445,0.8088467,0.1911533
446,0.80574226,0.19425777
447,0.54832935,0.45167065
448,0.8088467,0.1911533
449,0.80574226,0.19425777
450,0.4507773,0.5492227
451,0.8088467,0.1911533
452,0.8088467,0.1911533
453,0.8088467,0.1911533
454,0.8088467,0.1911533
455,0.5419257,0.45807427
456,0.80574226,0.19425777
457,0.8088467,0.1911533
458,0.8088467,0.1911533
459,0.8088467,0.1911533
460,0.8088467,0.1911533
461,0.8088467,0.1911533
462,0.8088467,0.1911533
463,0.80732954,0.19267045
464,0.8088467,0.1911533
465,0.80574226,0.19425777
466,0.8088467,0.1911533
467,0.8088467,0.1911533
468,0.80732954,0.19267045
469,0.8088467,0.1911533
470,0.7964912,0.2035088
471,0.80732954,0.19267045
472,0.80732954,0.19267045
473,0.8088467,0.1911533
474,0.4899869,0.5100131
475,0.7964912,0.2035088
476,0.8088467,0.1911533
477,0.80574226,0.19425777
478,0.5406301,0.4593699
479,0.80732954,0.19267045
480,0.8088467,0.1911533
481,0.80574226,0.19425777
482,0.8088467,0.1911533
483,0.80732954,0.19267045
484,0.8088467,0.1911533
485,0.8088467,0.1911533
486,0.4507773,0.5492227
487,0.8088467,0.1911533
488,0.80574226,0.19425777
489,0.7964912,0.2035088
490,0.8088467,0.1911533
491,0.4507773,0.5492227
492,0.80574226,0.19425777
493,0.74608994,0.25391006
494,0.8088467,0.1911533
495,0.80732954,0.19267045
496,0.80574226,0.19425777
497,0.44310397,0.55689603
498,0.8088467,0.1911533
499,0.80574226,0.19425777
500,0.8088467,0.1911533
501,0.8088467,0.1911533
502,0.8088467,0.1911533
503,0.80574226,0.19425777
504,0.80732954,0.19267045
505,0.8088467,0.1911533
506,0.80574226,0.19425777
507,0.45285338,0.5471466
508,0.8088467,0.1911533
509,0.80574226,0.19425777
510,0.8088467,0.1911533
511,0.8088467,0.1911533
512,0.8088467,0.1911533
513,0.8088467,0.1911533
514,0.7964912,0.2035088
515,0.8088467,0.1911533
516,0.8088467,0.1911533
517,0.8088467,0.1911533
518,0.7964912,0.2035088
519,0.80732954,0.19267045
520,0.8088467,0.1911533
521,0.8088467,0.1911533
522,0.80574226,0.19425777
523,0.80732954,0.19267045
524,0.80732954,0.19267045
525,0.7906553,0.2093447
526,0.8088467,0.1911533
527,0.80732954,0.19267045
528,0.80732954,0.19267045
529,0.8088467,0.1911533
530,0.8088467,0.1911533
531,0.80574226,0.19425777
532,0.8088467,0.1911533
533,0.8088467,0.1911533
534,0.8088467,0.1911533
535,0.8088467,0.1911533
536,0.8088467,0.1911533
537,0.8088467,0.1911533
538,0.80732954,0.19267045
539,0.8088467,0.1911533
540,0.71651495,0.28348508
541,0.8088467,0.1911533
542,0.80732954,0.19267045
543,0.49458063,0.5054194
544,0.6846373,0.31536266
545,0.8088467,0.1911533
